H w z
9.5111881487e+13 99999999.0 2.0
648.686433098 113.494780372 1.99999982719
327.044834352 71.8547746013 1.99999931767
218.838405614 54.8395598604 1.99999847374
164.489855328 45.2107419056 1.99999729614
131.788263434 38.8903400915 1.99999578528
109.943807587 34.3680155139 1.99999394141
94.3173531394 30.9437026801 1.99999176472
82.5838067828 28.2446389736 1.99998925532
73.4490726379 26.0525304427 1.99998641331
66.1355537624 24.2303208465 1.99998323876
60.1478076492 22.6872413097 1.99997973171
55.1551835261 21.3605812359 1.99997589221
50.9285737975 20.2055079747 1.99997172028
47.3042027545 19.189044378 1.99996721592
44.1618857101 18.2863458281 1.99996237915
41.4114280449 17.4783074749 1.99995720997
38.9838171977 16.7499755625 1.99995170836
36.8253525876 16.0894646171 1.99994587431
34.8936195424 15.4871978096 1.9999397078
33.1546723076 14.9353648588 1.99993320881
31.5810206383 14.4275270919 1.99992637729
30.1501650984 13.9583249472 1.99991921322
28.8435130998 13.5232576701 1.99991171657
27.6455640248 13.1185147587 1.99990388727
26.5432958984 12.7408479086 1.99989572529
25.5256869721 12.3874688459 1.99988723058
24.5833452262 12.0559692578 1.99987840307
23.7082194452 11.7442578041 1.99986924272
22.8933668218 11.4505083721 1.99985974945
22.1327691184 11.1731188949 1.9998499232
21.4211838087 10.9106775324 1.99983976391
20.7540228031 10.661934754 1.99982927149
20.1272536204 10.4257803874 1.99981844588
19.5373162656 10.201223853 1.99980728699
18.9810588893 9.98737933835 1.99979579475
18.4556782421 9.78345106239 1.99978396906
17.9586744051 9.58872257263 1.99977180984
17.487810037 9.40254663328 1.99975931699
17.0410769375 9.22433699294 1.99974649043
16.6166677757 9.05356138762 1.99973333004
16.2129509619 8.8897351157 1.99971983575
15.8284505184 8.73241605164 1.99970600743
15.4618272781 8.58119971893 1.99969184498
15.1118639268 8.43571552248 1.9996773483
14.777451096 8.2956230696 1.99966251727
14.4575759552 8.16060923045 1.99964735177
14.1513117161 8.03038532681 1.9996318517
13.8578084008 7.90468462965 1.99961601692
13.5762855861 7.78326050903 1.99959984732
13.3060255105 7.66588458175 1.99958334277
13.0463662756 7.5523447521 1.99956650314
12.7966968714 7.44244391559 1.99954932829
12.5564526413 7.33599875355 1.9995318181
12.3251104719 7.23283830906 1.99951397243
12.1021852148 7.13280302118 1.99949579113
11.8872265645 7.03574389334 1.99947727407
11.6798156504 6.94152146792 1.9994584211
11.4795624013 6.85000508884 1.99943923207
11.2861033076 6.76107229645 1.99941970683
11.0990990154 6.6746081003 1.99939984523
10.9182323434 6.59050440397 1.99937964711
10.7432066332 6.50865954911 1.99935911232
10.5737440382 6.4289777991 1.9993382407
10.4095840101 6.35136888543 1.99931703207
10.2504820865 6.27574766945 1.99929548628
10.0962086201 6.20203375489 1.99927360315
9.94654758842 6.13015111563 1.99925138253
9.80129562092 6.06002780842 1.99922882422
9.66026113939 5.99159572348 1.99920592807
9.52326367988 5.92479040862 1.99918269388
9.39013282354 5.85955068927 1.99915912148
9.26070757891 5.79581849382 1.99913521069
9.13483574458 5.73353865865 1.99911096132
9.01237343778 5.67265880511 1.99908637317
8.89318442638 5.61312910997 1.99906144607
8.77713960153 5.55490213588 1.99903617982
8.66411653771 5.49793269751 1.99901057422
8.55399910608 5.44217774752 1.99898462907
8.44667710297 5.38759626395 1.99895834418
8.34204578442 5.3341490836 1.99893171934
8.24000556403 5.28179881216 1.99890475435
8.14046170392 5.23050972609 1.998877449
8.04332407582 5.18024770598 1.99884980308
7.94850681909 5.13098011245 1.99882181638
7.85592809772 5.08267570877 1.99879348869
7.76550987087 5.03530458683 1.99876481979
7.6771777038 4.98883811098 1.99873580946
7.59086055085 4.94324884416 1.99870645748
7.50649054056 4.89851047202 1.99867676363
7.42400281065 4.85459775045 1.99864672768
7.34333535277 4.81148645596 1.9986163494
7.2644288816 4.76915334689 1.99858562857
7.18722663546 4.72757608566 1.99855456496
7.11167425888 4.6867332027 1.99852315832
7.03771967632 4.64660405391 1.99849140843
6.96531297177 4.60716877943 1.99845931505
6.89440629415 4.568408275 1.99842687794
6.82495379915 4.53030418186 1.99839409684
6.75691145665 4.49283880169 1.99836097153
6.69023698919 4.45599508159 1.99832750175
6.62488978842 4.41975658591 1.99829368725
6.56083083222 4.38410746738 1.99825952779
6.49802261636 4.34903244518 1.9982250231
6.43642911113 4.31451679612 1.99819017294
6.3760156373 4.28054629978 1.99815497706
6.31674881835 4.24710722515 1.99811943518
6.25859652188 4.21418631052 1.99808354705
6.2015278014 4.18177074281 1.99804731241
6.1455128469 4.14984814109 1.99801073099
6.09052295438 4.11840655045 1.99797380252
6.03653043989 4.08743440337 1.99793652674
5.9835086038 4.05692050919 1.99789890338
5.93143168924 4.02685403957 1.99786093217
5.88027484024 3.99722451339 1.99782261282
5.83001406544 3.96802178426 1.99778394507
5.78062621545 3.93923603557 1.99774492864
5.73208892317 3.91085775358 1.99770556324
5.68438057654 3.8828777188 1.9976658486
5.63748028829 3.85528699531 1.99762578443
